trend,season,episode,title,year,totalvotes,averagerating
3,1,1,The Good Son,1993,"1,084",8.6
1,1,2,Space Quest,1993,789,8.1
1,1,3,Dinner at Eight,1993,809,8.2
2,1,4,I Hate Frasier Crane,1993,747,7.9
2,1,5,Here's Looking at You,1993,719,7.9
2,1,6,The Crucible,1993,700,7.7
1,1,7,Call Me Irresponsible,1993,699,7.9
1,1,8,Beloved Infidel,1993,686,8.1
1,1,9,Selling Out,1993,672,8
1,1,10,Oops,1993,655,7.9
1,1,11,Death Becomes Him,1993,644,7.7
1,1,12,Miracle on Third or Fourth Street,1993,787,8.5
1,1,13,Guess Who's Coming to Breakfast,1994,665,8
1,1,14,Can't Buy Me Love,1994,658,7.7
1,1,15,You Can't Tell a Crook by His Cover,1994,647,7.8
2,1,16,The Show Where Lilith Comes Back,1994,735,8.4
2,1,17,A Mid-Winter Night's Dream,1994,751,8.6
1,1,18,And the Whimper Is...,1994,619,7.8
1,1,19,Give Him the Chair!,1994,664,8.1
1,1,20,Fortysomething,1994,629,7.6
1,1,21,Travels with Martin,1994,800,8.8
1,1,22,"Author, Author",1994,706,8.3
-,1,23,Frasier Crane's Day Off,1994,770,8.5
-,1,24,My Coffee with Niles,1994,812,8.8
-,2,1,Slow Tango in South Seattle,1994,648,7.8
-,2,2,The Unkindest Cut of All,1994,587,7.7
-,2,3,The Matchmaker,1994,"1,092",9.3
-,2,4,Flour Child,1994,674,8.2
-,2,5,"Duke's, We Hardly Knew Ye",1994,569,7.7
1,2,6,The Botched Language of Cranes,1994,599,8.1
-,2,7,The Candidate,1994,683,8.3
-,2,8,Adventures in Paradise: Part 1,1994,592,7.9
-,2,9,Adventures in Paradise: Part 2,1994,617,8.1
1,2,10,Burying a Grudge,1994,544,7.6
1,2,11,Seat of Power,1994,649,8.3
1,2,12,Roz in the Doghouse,1995,541,7.9
-,2,13,Retirement Is Murder,1995,615,8.3
-,2,14,"Fool Me Once, Shame on You, Fool Me Twice...",1995,540,7.7
-,2,15,You Scratch My Book...,1995,575,7.9
-,2,16,The Show Where Sam Shows Up,1995,623,8
-,2,17,Daphne's Room,1995,745,8.9
-,2,18,The Club,1995,554,8.1
-,2,19,Someone to Watch Over Me,1995,565,8.1
1,2,20,Breaking the Ice,1995,624,8.3
1,2,21,An Affair to Forget,1995,771,8.9
-,2,22,Agents in America: Part 3,1995,630,8.4
-,2,23,The Innkeepers,1995,885,9
-,2,24,Dark Victory,1995,609,8.3
1,3,1,She's the Boss,1995,643,8.1
1,3,2,Shrink Rap,1995,557,8.1
