Company,Name,Ref,Review.Date,Cocoa.Percent,Company.Location,Rating,Broad.Bean.Origin,Bean.Type,Bar.Price
A. Morin,Panama,1011,2013,60,France,2.75,Panama,,0.71
A. Morin,Brazil,1011,2013,74,France,3.25,Brazil,,0.91
A. Morin,Akata,1680,2015,52,France,3.5,Togo,,0.71
A. Morin,Pablino,1319,2014,65,France,4,Peru,,0.81
A. Morin,Chanchamayo Province,1019,2013,85,France,4,Peru,,0.71
A. Morin,Chanchamayo Province,1019,2013,74,France,3.5,Peru,,0.71
A. Morin,Puerto Cabello,1319,2014,80,France,3.75,Venezuela,,0.81
A. Morin,Piura,1019,2013,53,France,3.25,Peru,,0.91
A. Morin,Carenero,1315,2014,72,France,2.75,Venezuela,Criollo,0.91
A. Morin,Papua New Guinea,1015,2013,80,France,3.25,Papua New Guinea,,0.81
A. Morin,Bolivia,797,2012,52,France,3.5,Bolivia,,0.91
A. Morin,Chuao,1015,2013,74,France,4,Venezuela,,0.81
A. Morin,Atsane,1676,2015,75,France,3,Togo,,0.81
A. Morin,Equateur,1011,2013,79,France,3.75,Ecuador,,0.91
A. Morin,Cuba,1315,2014,72,France,3.5,Cuba,,0.71
A. Morin,Colombie,1015,2013,57,France,2.75,Colombia,,0.81
A. Morin,Kpime,1676,2015,71,France,2.75,Togo,,0.71
A. Morin,Peru,797,2012,82,France,3.75,Peru,,0.91
A. Morin,Quilla,1704,2015,64,France,3.5,Peru,,0.81
A. Morin,Birmanie,1015,2013,73,France,3,Burma,,0.71
A. Morin,Madagascar,1011,2013,85,France,3,Madagascar,Criollo,1.2
A. Morin,Sur del Lago,1315,2014,54,France,3.5,Venezuela,Criollo,0.81
Acalli,"Tumbes, Norandino",1470,2015,64,U.S.A.,3.75,Peru,,0.91
Acalli,"Chulucanas, El Platanal",1462,2015,55,U.S.A.,3.75,Peru,,0.71
Adi,Vanua Levu,705,2011,55,Fiji,2.75,Fiji,,0.81
Adi,"Vanua Levu, Ami-Ami-CA",705,2011,65,Fiji,3.5,Fiji,,0.71
Adi,Vanua Levu,705,2011,60,Fiji,3.5,Fiji,Trinitario,0.71
Adi,"Vanua Levu, Toto-A",705,2011,55,Fiji,3.25,Fiji,Trinitario,1.1
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,53,Ecuador,2.75,Ecuador,,0.91
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,57,Ecuador,3,Ecuador,Forastero (Arriba),0.71
Ah Cacao,Tabasco,316,2009,61,Mexico,3,Mexico,Criollo,0.71
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,73,Switzerland,3.75,Indonesia,,0.71
