age,fnlwgt,edu.num,capital.gain,capital.loss,hours_week,native_country
83,77516,13,2174,0,40,Denmark
91,83311,13,0,0,13,Denmark
99,215646,9,0,0,40,Denmark
67,234721,7,0,0,40,Denmark
76,338409,13,0,0,40,Denmark
57,284582,14,0,0,40,Denmark
92,160187,5,0,0,16,Denmark
84,209642,9,0,0,45,Denmark
38,45781,14,14084,0,50,Denmark
49,159449,13,5178,0,40,Denmark
90,280464,10,0,0,80,Denmark
45,141297,13,0,0,40,Denmark
90,122272,13,0,0,30,Denmark
98,205019,12,0,0,50,Denmark
38,121772,11,0,0,40,Denmark
61,245487,4,0,0,45,Denmark
93,176756,9,0,0,35,Denmark
79,186824,9,0,0,40,Denmark
59,28887,7,0,0,50,Denmark
93,292175,14,0,0,45,Denmark
78,193524,16,0,0,60,Denmark
86,302146,9,0,0,20,Denmark
85,76845,5,0,0,40,Denmark
46,117037,7,0,2042,40,Denmark
73,109015,9,0,0,40,Denmark
47,216851,13,0,0,40,Denmark
36,168294,9,0,0,40,Denmark
82,180211,10,0,0,60,Denmark
53,367260,9,0,0,80,Denmark
93,193366,9,0,0,40,Denmark
60,190709,12,0,0,52,Denmark
49,266015,10,0,0,44,Denmark
59,386940,13,0,1408,40,Denmark
95,59951,10,0,0,40,Denmark
73,311512,10,0,0,15,Denmark
60,242406,7,0,0,40,Denmark
57,197200,10,0,0,40,Denmark
87,544091,9,0,0,25,Denmark
70,84154,10,0,0,38,Denmark
42,265477,12,0,0,40,Denmark
84,507875,5,0,0,43,Denmark
36,88506,13,0,0,40,Denmark
82,172987,13,0,0,50,Denmark
40,94638,9,0,0,40,Denmark
36,289980,9,0,0,35,Denmark
72,337895,13,0,0,40,Denmark
91,144361,9,0,0,38,Denmark
81,128354,14,0,0,40,Denmark
50,101603,11,0,0,40,Denmark
65,271466,11,0,0,43,Denmark
35,32275,10,0,0,40,Denmark
92,226956,9,0,0,30,Denmark
73,51835,15,0,1902,60,Denmark
69,251585,13,0,0,55,Denmark
56,109832,9,0,0,60,Denmark
96,237993,10,0,0,40,Denmark
80,216666,3,0,0,40,Denmark
52,56352,11,0,0,40,Denmark
36,147372,9,0,0,48,Denmark
78,188146,9,5013,0,40,Denmark
55,59496,13,2407,0,40,Denmark
65,293936,4,0,0,40,Denmark
86,149640,9,0,0,40,Denmark
66,116632,16,0,0,45,Denmark
46,105598,10,0,0,58,Denmark
43,155537,9,0,0,40,Denmark
42,183175,10,0,0,40,Denmark
44,169846,9,0,0,40,Denmark
96,191681,10,0,0,50,Denmark
37,200681,10,0,0,40,Denmark
67,101509,10,0,0,32,Denmark
86,309974,13,0,0,40,Denmark
94,162298,13,0,0,70,Denmark
45,211678,10,0,0,40,Denmark
75,124744,10,0,0,20,Denmark
60,213921,9,0,0,40,Denmark
73,32214,12,0,0,40,Denmark
74,212759,6,0,0,2,Denmark
75,309634,7,0,0,22,Denmark
82,125927,4,0,0,40,Denmark
47,446839,9,0,0,30,Denmark
59,276515,13,0,0,40,Denmark
82,51618,9,0,0,40,Denmark
38,159937,9,0,0,48,Denmark
83,343591,9,14344,0,40,Denmark
51,346253,9,0,0,35,Denmark
78,268234,9,0,0,40,Denmark
49,202051,14,0,0,50,Denmark
35,54334,5,0,0,40,Denmark
89,410867,16,0,0,50,Denmark
45,249977,11,0,0,40,Denmark
51,286730,10,0,0,40,Denmark
65,212563,10,0,0,25,Denmark
50,117747,9,0,1573,35,Denmark
96,226296,13,0,0,40,Denmark
92,115585,10,0,0,50,Denmark
59,191277,16,0,1902,60,Denmark
35,202683,10,0,0,48,Denmark
77,171095,12,0,0,40,Denmark
95,249409,9,0,0,40,Denmark
96,124191,14,0,0,40,Denmark
78,198282,13,15024,0,60,Denmark
83,149116,14,0,0,50,Denmark
85,188300,10,0,0,40,Denmark
45,103432,9,0,0,40,Denmark
56,317660,9,7688,0,40,Denmark
38,304873,6,34095,0,32,Denmark
58,194901,7,0,0,40,Denmark
82,189265,9,0,0,40,Denmark
86,124692,9,0,0,40,Denmark
91,432376,13,0,0,40,Denmark
48,65324,15,0,0,40,Denmark
47,335605,9,0,1887,50,Denmark
57,377869,10,4064,0,25,Denmark
55,102864,9,0,0,40,Denmark
99,95647,5,0,0,50,Denmark
35,303090,10,0,0,50,Denmark
43,197371,11,0,0,40,Denmark
73,247552,10,0,0,56,Denmark
61,102632,9,0,0,41,Denmark
58,199915,10,0,0,40,Denmark
81,118853,13,0,0,60,Denmark
70,77143,13,0,0,40,Denmark
96,267989,13,0,0,50,Denmark
82,301606,10,0,0,35,Denmark
58,287828,13,0,0,40,Denmark
91,111697,10,0,1719,28,Denmark
91,114937,12,0,0,40,Denmark
52,129305,9,0,0,40,Denmark
58,365739,10,0,0,40,Denmark
36,69621,12,0,0,60,Denmark
60,43323,9,0,1762,40,Denmark
68,120985,9,4386,0,35,Denmark
36,254202,13,0,0,50,Denmark
37,146195,12,0,0,36,Denmark
79,125933,14,0,0,40,Denmark
43,56920,9,0,0,60,Denmark
47,163127,11,0,0,35,Denmark
98,34310,10,0,0,20,Denmark
46,81973,10,0,0,40,Denmark
52,66614,9,0,0,40,Denmark
96,232782,10,0,0,40,Denmark
58,316868,10,0,0,30,Denmark
63,196584,11,0,1564,40,Denmark
63,105376,10,0,0,40,Denmark
91,185814,9,0,0,30,Denmark
45,175374,10,0,0,24,Denmark
90,108293,9,0,0,24,Denmark
42,181232,7,0,2179,40,Denmark
66,174662,10,0,0,40,Denmark
49,186009,10,0,0,38,Denmark
58,198183,9,0,0,40,Denmark
76,163003,13,0,0,40,Denmark
48,296158,9,0,0,35,Denmark
53,252903,9,0,0,45,Denmark
92,187715,9,0,0,46,Denmark
88,214542,13,0,0,40,Denmark
50,494223,10,0,1816,2,Denmark
38,191535,9,0,0,60,Denmark
90,228456,13,0,0,50,Denmark
35,38317,2,0,0,20,Denmark
42,252752,9,0,0,40,Denmark
77,78374,14,0,0,40,Denmark
56,88419,9,0,0,40,Denmark
91,201080,14,0,0,40,Denmark
95,207157,10,0,0,40,Denmark
56,235485,12,0,0,42,Denmark
81,102628,14,0,0,40,Denmark
54,25828,7,0,0,16,Denmark
51,54826,11,0,0,20,Denmark
74,124953,9,0,1980,40,Denmark
46,175325,9,0,0,40,Denmark
98,96062,10,0,1977,40,Denmark
35,428030,13,0,0,50,Denmark
70,149624,13,0,0,40,Denmark
74,253814,9,0,0,25,Denmark
91,312956,9,0,0,40,Denmark
82,483777,9,0,0,40,Denmark
52,183930,9,0,0,12,Denmark
55,37274,13,0,0,65,Denmark
92,181344,10,0,0,38,Denmark
37,114580,10,0,0,40,Denmark
47,633742,10,0,0,45,Denmark
67,286370,4,0,0,40,Denmark
69,29054,10,0,0,42,Denmark
42,304030,9,0,0,40,Denmark
41,143129,13,0,0,40,Denmark
35,135105,13,0,0,50,Denmark
45,99928,14,0,0,50,Denmark
53,109567,16,0,0,1,Denmark
95,155222,10,0,0,28,Denmark
96,159567,10,0,0,40,Denmark
98,523910,13,0,0,40,Denmark
78,120939,10,0,0,45,Denmark
44,130760,13,0,0,24,Denmark
80,197387,3,0,0,40,Denmark
68,99374,10,0,0,40,Denmark
42,56795,14,14084,0,55,Denmark
60,138992,14,7298,0,40,Denmark
90,32921,9,0,0,40,Denmark
82,397317,14,0,1876,40,Denmark
88,170653,9,0,0,40,Denmark
39,259323,13,0,0,50,Denmark
64,254817,10,0,1340,40,Denmark
90,48211,9,0,0,35,Denmark
63,140164,7,0,0,40,Denmark
37,128757,13,7298,0,36,Denmark
64,36270,9,0,0,60,Denmark
80,210563,9,15024,0,35,Denmark
65,65368,7,0,0,12,Denmark
95,160943,9,0,0,40,Denmark
39,208358,9,0,0,40,Denmark
56,153790,10,0,0,40,Denmark
57,85815,9,0,0,40,Denmark
